temperature_C,pt100_resistance_ohm,mercury_left_cm,mercury_right_cm,delta_h_cm,absolute_pressure_kPa
10,103.9,27.3,25.1,-2.2,98.390927
14,104.4,26.6,25.6,-1.0,99.991330
39,110.4,26.3,26.1,-0.2,101.058266
40,111.9,26.2,26.1,-0.1,101.191633
41,112.3,26.2,26.1,-0.1,101.191633
42,112.7,26.1,26.2,0.1,101.458367
43,113.4,26.1,26.2,0.1,101.458367
44,114.3,26.1,26.3,0.2,101.591734
45,114.6,26.0,26.3,0.3,101.725101
46,115.0,26.0,26.4,0.4,101.858468
48,115.5,25.9,26.4,0.5,101.991835
49,115.8,25.9,26.5,0.6,102.125202
50,116.1,25.8,26.5,0.7,102.258569
51,116.7,25.7,26.7,1.0,102.658670
52,117.0,25.7,26.7,1.0,102.658670
53,117.4,25.7,26.7,1.0,102.658670
53,118.0,25.7,26.8,1.1,102.792036
58,118.8,25.4,26.9,1.5,103.325504
60,119.0,25.4,26.9,1.5,103.325504
62,119.6,25.3,27.0,1.7,103.592238
64,120.4,25.1,27.1,2.0,103.992339
65,120.6,25.1,27.3,2.2,104.259073
65,121.3,25.0,27.5,2.5,104.659174
67,121.6,24.9,27.5,2.6,104.792541
66,121.7,24.9,27.5,2.6,104.792541
66,121.8,24.9,27.5,2.6,104.792541
67,122.2,24.8,27.5,2.7,104.925908
68,122.4,24.8,27.5,2.7,104.925908
69,122.8,24.8,27.6,2.8,105.059275
70,123.0,24.7,27.6,2.9,105.192642
71,123.4,24.7,27.7,3.0,105.326009
72,123.5,24.6,27.8,3.2,105.592742
73,123.7,24.5,27.8,3.3,105.726109
74,123.9,24.6,27.8,3.2,105.592742
76,124.6,24.3,28.0,3.7,106.259577
75,124.8,24.3,28.1,3.8,106.392944
78,125.1,24.2,28.2,4.0,106.659678
77,125.4,24.2,28.2,4.0,106.659678
80,125.7,24.1,28.3,4.2,106.926412
81,125.9,24.1,28.4,4.3,107.059779
82,126.0,24.1,28.3,4.2,106.926412
84,127.1,23.9,28.6,4.7,107.593247
88,128.6,23.7,28.9,5.2,108.260081
86,128.7,23.6,28.9,5.3,108.393448
85,128.9,23.6,28.9,5.3,108.393448
87,129.5,23.4,29.0,5.6,108.793549
90,129.7,23.4,29.0,5.6,108.793549
89,129.7,23.4,29.0,5.6,108.793549
90,129.9,23.4,29.1,5.7,108.926916
91,130.5,23.3,29.2,5.9,109.193650
90,130.5,23.3,29.2,5.9,109.193650
91,131.0,23.3,29.3,6.0,109.327017
92,131.1,23.2,29.4,6.2,109.593751
94,131.9,22.9,29.6,6.7,110.260586
95,132.3,22.9,29.7,6.8,110.393953
96,132.5,22.9,29.7,6.8,110.393953
96,132.8,22.9,29.6,6.7,110.260586
98,133.4,22.8,29.7,6.9,110.527320
99,133.5,22.8,29.7,6.9,110.527320
99,134.3,22.5,30.0,7.5,111.327521
98,134.6,22.5,29.9,7.4,111.194154
100,134.7,22.4,30.1,7.7,111.594255
97,135.1,22.3,30.2,7.9,111.860989
